Bus_Number,Bus_Name,Area_Name,Latitude,Longitude,TPR,WECC_Load_Weights,CAISO_Load_Weights,NorthernGrid_Load_Weights,WestConnect_Load_Weights
100011,bus_100011,Washington,48.2414,-124.5778,NorthernGrid,0.0002696913225711945,0.0,0.000830505828215994,0.0
100221,bus_100221,Washington,47.1504,-123.13,NorthernGrid,0.002665948776375101,0.0,0.008209704247789927,0.0
100251,bus_100251,Washington,46.7918,-123.0418,NorthernGrid,0.04143267841618123,0.0,0.12759061201961283,0.0
100331,bus_100331,Washington,46.1277,-123.011,NorthernGrid,0.0007725421631662345,0.0,0.0023790189574333675,0.0
100351,bus_100351,Washington,46.1467,-122.9894,NorthernGrid,0.0,0.0,0.0,0.0
100931,bus_100931,Washington,45.6572,-122.7746,NorthernGrid,0.025617189662960674,0.0,0.07888731871225486,0.0
102281,bus_102281,Washington,47.6146,-122.3262,NorthernGrid,0.013648556368109063,0.0,0.042030294124338285,0.0
103441,bus_103441,Washington,47.0349,-122.1843,NorthernGrid,0.004165504251922534,0.0,0.01282753751844173,0.0
105251,bus_105251,Washington,47.8317,-120.8987,NorthernGrid,0.0025584937169297974,0.0,0.007878799818645523,0.0
105581,bus_105581,Washington,47.4908,-120.1183,NorthernGrid,9.091040155588275e-05,0.0,0.0002799556827331205,0.0
105701,bus_105701,Washington,47.1193,-119.7942,NorthernGrid,0.007111259808772286,0.0,0.021898897824509937,0.0
106001,bus_106001,Washington,46.9002,-119.1478,NorthernGrid,0.0,0.0,0.0,0.0
106771,bus_106771,Washington,47.5149,-117.0301,NorthernGrid,0.0017391246911279596,0.0,0.00535557903089308,0.0
107501,bus_107501,Washington,47.9951,-119.6404,NorthernGrid,0.0021807128326624937,0.0,0.006715435631836129,0.0
110161,bus_110161,Washington,47.9575,-118.9773,NorthernGrid,0.028053644860854564,0.0,0.0863903048029692,0.0
130001,bus_130001,Oregon,43.1141,-124.3092,NorthernGrid,0.0021688523766620147,0.0,0.006678911735776785,0.0
131751,bus_131751,Oregon,45.3594,-122.9136,NorthernGrid,0.0019366479585064369,0.0,0.005963845634364485,0.0
133661,bus_133661,Oregon,42.4035,-122.148,NorthernGrid,0.002678791183886421,0.0,0.008249252032215437,0.0
134201,bus_134201,Oregon,44.4751,-118.9902,NorthernGrid,0.0063377147172698585,0.0,0.019516790381245618,0.0
134461,bus_134461,Oregon,45.6648,-117.293,NorthernGrid,0.009955375758546124,0.0,0.03065726220156805,0.0
135041,bus_135041,Oregon,45.7164,-120.6941,NorthernGrid,0.044993582728855806,0.0,0.13855630330400706,0.0
200001,bus_200001,Northern California,40.8174,-124.0936,CAISO,0.0010523261568450926,0.002572487594575418,0.0,0.0
200071,bus_200071,Northern California,41.9152,-124.1341,NorthernGrid,0.002318349244478438,0.0,0.007139282573213721,0.0
200261,bus_200261,Northern California,40.5066,-123.289,CAISO,0.0235557574689785,0.05758375716084626,0.0,0.0
201361,bus_201361,Northern California,38.7621,-121.4451,CAISO,0.023794956737365355,0.05816849711675642,0.0,0.0
204901,bus_204901,Northern California,38.777,-122.745,CAISO,0.002783360903533244,0.006804127550180724,0.0,0.0
211211,bus_211211,Bay Area,37.8201,-122.3716,CAISO,0.03940882749631719,0.09633773634875259,0.0,0.0
211651,bus_211651,Bay Area,37.8828,-122.3102,CAISO,0.01192864696662163,0.029160442456074954,0.0,0.0
216471,bus_216471,Bay Area,38.0392,-121.8945,CAISO,0.012987120430954725,0.031747957589546044,0.0,0.0
230171,bus_230171,Central California,36.6851,-121.6765,CAISO,0.005879299188116043,0.014372373173322378,0.0,0.0
230541,bus_230541,Central California,37.7075,-121.2386,CAISO,0.0027877126143015154,0.006814765622696303,0.0,0.0
230601,bus_230601,Central California,37.5099,-121.1825,CAISO,0.0036211386944977626,0.008852136107459484,0.0,0.0
232301,bus_232301,Central California,36.3171,-119.3499,CAISO,0.02084141437151055,0.05094834864207314,0.0,0.0
232631,bus_232631,Central California,36.3461,-115.9688,NorthernGrid,0.0003423227764650287,0.0,0.0010541720744842876,0.0
233771,bus_233771,Central California,36.8048,-121.7822,CAISO,0.011700958448948277,0.028603841364928467,0.0,0.0
251601,bus_251601,Southwest California,33.9891,-118.4771,CAISO,0.002158149050890343,0.0052757518422849314,0.0,0.0
252891,bus_252891,Southwest California,34.1798,-118.3632,CAISO,0.025621869260339075,0.06263451724858918,0.0,0.0
253751,bus_253751,Southwest California,33.7936,-118.3317,CAISO,0.002504654943142169,0.0061228106210360934,0.0,0.0
253851,bus_253851,Southwest California,33.8546,-118.3986,CAISO,0.008617564408760998,0.0210662610567948,0.0,0.0
